blockNumber,timestamp,size,difficulty,transactionCount,internalTxCntSimple,internalTxCntAdvanced,erc20TxCnt,erc721TxCnt,minerAddress,minerExtra,gasLimit,gasUsed,minGasPrice,maxGasPrice,avgGasPrice,txFee
11000051,1601958595,26065,3.350133e+15,127,42,549,111,3,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,0x7575706f6f6c2e636e2d33,12451217,12445681,38000000000,87000000000,41608763184.29921,504377497188909911
11000052,1601958600,32722,3.351769e+15,126,88,548,123,3,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,0x7575706f6f6c2e636e2d33,12439059,12437442,37000001459,250000000000,48046421871.0,518849034337597564
11000053,1601958605,44991,3.353405e+15,177,56,447,160,3,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,0x6e616e6f706f6f6c2e6f7267,12451205,12446370,37000001459,500000000000,54369915986.90395,579833937698835003
11000054,1601958614,43792,3.353405e+15,212,28,538,187,2,0x06b8c5883ec71bc3f4b332081519f23834c8706e,0x4d696e696e672045787072657373204d,12439047,12418728,37000001459,200000000000,50851571675.212265,609358793429531979
11000055,1601958626,45627,3.353405e+15,246,42,470,194,2,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d61736961312d32,12451193,12436630,1000000000,300000000000,42567109206.36992,625776659012201919
11000056,1601958641,39305,3.353405e+15,201,42,390,178,3,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d7573312d322d67657468,12463351,12458266,38000000000,250000000000,57579740370.850746,731819056121951192
11000057,1601958663,42995,3.351768e+15,193,41,607,194,2,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,0x737069646572313108502bd7,12451181,12451031,37000001459,255000000000,53059760393.04145,614673520925515995
11000058,1601958685,43832,3.350131e+15,220,32,505,158,4,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,0x73706964657231310400def1,12439023,12432767,37000001459,193814115559,53128785364.09545,667165701039104938
11000059,1601958698,25840,3.350131e+15,107,35,892,130,2,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,0x7575706f6f6c2e636e2d32,12426877,12424383,5000000000,74000000000,40604616108.700935,480912512685482288
11000060,1601958703,45322,3.351767e+15,210,44,516,189,2,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d77657374332d312d67657468,12439011,12424254,38000001459,250000000000,57182266984.2381,716114921909887030
11000061,1601958723,35969,3.35013e+15,158,51,490,179,5,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12451157,12438496,6000000000,93000000000,39873586211.8924,481433229808777327
11000062,1601958724,26949,3.351766e+15,121,27,556,146,6,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12463315,12453534,37000000000,74000002918,39164464065.47108,474592039971006172
11000063,1601958726,36799,3.353403e+15,158,47,406,136,2,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12475485,12461383,10000000000,675316231043,58449569448.474686,782291051429007873
11000064,1601958743,39900,3.353403e+15,188,42,563,164,0,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d6e6f727468312d312d67657468,12487667,12486941,56000000000,2229000000000,134843122627.27127,1226931446571248119
11000065,1601958851,32450,3.335391e+15,139,39,619,159,0,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,0x6e616e6f706f6f6c2e6f7267,12499860,12473289,53000000000,60000000000,54761517153.34532,677335725355098534
11000066,1601958853,41907,3.33702e+15,224,35,463,134,2,0x84a0d77c693adabe0ebc48f88b3ffff010577051,0xd683010915846765746886676f312e3135856c696e7578,12487655,12484190,48100001897,117600000233,55839011670.51339,697560190131047597
11000067,1601958884,41156,3.333761e+15,218,35,469,174,0,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,0x7575706f6f6c2e636e2d33,12475462,12456973,5000000000,110000000000,51067742941.11468,662070742910342967
11000068,1601958900,43740,3.333761e+15,154,37,363,145,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12487644,12467095,52000000000,299516217995,81195782008.52597,924642540077319433
11000069,1601958948,31562,3.32725e+15,129,39,594,140,1,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,0x73706964657230321225d9de,12475451,12455533,44000000000,150000000000,50055632430.23256,603939324527470074
11000070,1601958958,43313,3.32725e+15,224,35,627,142,0,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d7573322d312d67657468,12487633,12465876,1000000000,250000000000,44699819858.37054,614703500102857817
11000071,1601958966,42358,3.328875e+15,213,45,523,182,0,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d6e6f727468312d312d67657468,12499826,12463159,48400000000,1594338200383,86536003364.78404,941842148693035438
11000072,1601959009,40115,3.323998e+15,188,25,674,154,0,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,0x6e616e6f706f6f6c2e6f7267,12512031,12507761,47000000000,250000000000,63290719142.59042,728220937962154519
11000073,1601959026,33271,3.325621e+15,151,27,288,139,1,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc0409,12499814,12487681,41000000000,152000005836,45662733105.49669,554244062579019402
11000074,1601959030,41789,3.327245e+15,202,67,459,182,1,0x6e8583b7b062b38851e3fc9f09346e920bdfb9d4,0x726f7a61,12500000,12289729,41000000000,150000000000,49330537077.930695,600849251900591914
11000075,1601959044,51611,3.327245e+15,187,38,325,124,1,0xb3b7874f13387d44a3398d298b075b7a3505d8d4,0x424142454c504f4f4c2f48454c4c4f5f455448,12505796,12499134,40700001605,242000106767,56827458664.96791,752890166667454391
11000076,1601959060,42342,3.327245e+15,198,50,475,182,2,0x84a0d77c693adabe0ebc48f88b3ffff010577051,0xd883010911846765746888676f312e31342e32856c696e7578,12493585,12484616,40000000000,164000000000,49825664830.13636,610804517837851396
11000077,1601959070,39677,3.327245e+15,200,26,466,154,5,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d6e6f727468312d332d67657468,12500000,12479837,1000000000,200000000000,42898029339.915,544764636332447974
11000078,1601959079,534,3.327245e+15,0,0,0,0,0,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12506075,0,None,None,None,0
11000079,1601959080,34224,3.32887e+15,144,41,529,154,8,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12500000,12494814,38000000000,250000000000,59271160813.36806,655264271331535971
